Date,Total_Waste_kg,Is_High_Waste,Previous_Day_Waste,Day_of_Week_Encoded,Is_After_Holiday,Rolling_Avg_3Day
2025-08-02,251.0,0,374.0,6,False,312.5
2025-08-04,404.0,1,251.0,1,True,343.0
2025-08-05,374.0,1,404.0,2,False,343.0
2025-08-06,340.0,1,374.0,3,False,372.6666666666667
2025-08-07,152.0,0,340.0,4,False,288.6666666666667
2025-08-08,201.0,0,152.0,5,False,231.0
2025-08-09,181.0,0,201.0,6,False,178.0
2025-08-11,239.0,0,181.0,1,True,207.0
2025-08-12,230.0,0,239.0,2,False,216.66666666666666
2025-08-13,220.0,0,230.0,3,False,229.66666666666666
2025-08-14,219.0,0,220.0,4,False,223.0
2025-08-16,200.0,0,219.0,6,True,213.0
2025-08-18,245.0,0,200.0,1,True,221.33333333333334
2025-08-19,268.0,0,245.0,2,False,237.66666666666666
2025-08-20,278.0,1,268.0,3,False,263.6666666666667
2025-08-21,317.0,1,278.0,4,False,287.6666666666667
2025-08-22,167.0,0,317.0,5,False,254.0
2025-08-23,197.0,0,167.0,6,False,227.0
2025-08-25,150.0,0,197.0,1,True,171.33333333333334
2025-08-26,247.0,0,150.0,2,False,198.0
2025-08-27,233.0,0,247.0,3,False,210.0
2025-08-28,251.0,0,233.0,4,False,243.66666666666666
2025-08-29,248.0,0,251.0,5,False,244.0
2025-08-30,244.0,0,248.0,6,False,247.66666666666666
